"SiteCode";"MN";"k";"p";"n_SAD.N.ref";"n_SAD.ref";"S.MN_mean";"U_med";"Ntotal";"Stotal";"DA";"d";"m_";"theta";"U_var";"S.MN_var";"p.value_mean";"p.value_var";"D_mean";"D_var";"S.obs_mean";"S.obs_var";"k.0"
"RScach2";"EI";0.6;0.104200232371204;92;8;19.04;0.003889446;1904;48;1904;1.98321231049333;0.00147983448600034;2788.80230612459;4.33273181822222e-08;16.119595959596;0.395270813943552;0.0767124251874123;0.26336758572089;0.00637662191199842;48;0;0.6
"RScach2";"EE";0.55;0.104200232371204;100;0;46.54;0.003817295;1904;48;1904;2.17863417744771;0.00162769496558881;2736.8705104363;1.99762220277778e-08;34.7357575757576;0.680320871003088;0.0523037379303808;0.146565036988773;0.00125364351131086;48;0;0.55
"RScach2";"EI";0.55;0.104200232371204;90;10;20.19;0.003817295;1904;48;1904;2.17863417744771;0.00162769496558881;2736.8705104363;1.99762220277778e-08;19.4887878787879;0.357097448426693;0.0823518697817235;0.272103395863359;0.00727920267740623;48;0;0.55
"RScach2";"EE";0.5;0.104200232371204;99;1;47.47;0.003915643;1904;48;1904;2.39624554100426;0.00179278191117194;2807.65986285785;8.69717649000001e-09;35.2415151515151;0.654019866333188;0.0727978904088944;0.150484332650886;0.00205369652451984;48;0;0.5
"RScach2";"EI";0.5;0.104200232371204;94;6;22.16;0.003915643;1904;48;1904;2.39624554100426;0.00179278191117194;2807.65986285785;8.69717649000001e-09;22.1963636363636;0.414045522539025;0.0796904558743891;0.245486268135219;0.00578361344914249;48;0;0.5
"RScach2";"EE";0.45;0.104200232371204;100;0;47.12;0.003847643;1904;48;1904;2.63494207849559;0.00197439702555935;2758.71303512003;2.48247050455556e-08;36.9349494949495;0.665084008836037;0.0708720047159823;0.148883613550332;0.0017110936517907;48;0;0.45
"RScach2";"EI";0.45;0.104200232371204;94;6;23.86;0.003847643;1904;48;1904;2.63494207849559;0.00197439702555935;2758.71303512003;2.48247050455556e-08;17.1317171717172;0.457595026030427;0.0739458575176569;0.229615613788711;0.00522346411027884;48;0;0.45
"RScach2";"EE";0.4;0.104200232371204;82;18;47.95;0.00558345;1904;48;1904;2.94265179066055;0.00220934735390323;4010.25336548426;3.25033190222222e-08;40.3510101010101;0.200529030746152;0.0400845071029154;0.240794787339186;0.00337308149899296;48;0;0.4
"RScach2";"EI";0.4;0.104200232371204;96;4;26.28;0.00558345;1904;48;1904;2.94265179066055;0.00220934735390323;4010.25336548426;3.25033190222222e-08;21.3349494949495;0.43340520716307;0.0846706200648638;0.226952070044459;0.00496784528853955;48;0;0.4
"RScach2";"EE";0.35;0.104200232371204;74;26;47.11;0.005498894;1904;48;1904;3.25689839377549;0.00245025408885571;3949.18611870706;9.26842256000001e-09;36.5433333333333;0.203105313115889;0.0513589210904419;0.243662346548108;0.00375885170729555;48;0;0.35
"RScach2";"EI";0.35;0.104200232371204;97;3;28.71;0.005498894;1904;48;1904;3.25689839377549;0.00245025408885571;3949.18611870706;9.26842256000001e-09;26.2685858585859;0.46067349693926;0.0697780647627115;0.212425424942341;0.00335061202720208;48;0;0.35
"RScach2";"EE";0.3;0.104200232371204;73;27;48.19;0.005710005;1904;48;1904;3.6749956212858;0.00277229674480559;4101.67214509138;3.17902455166667e-08;42.2968686868687;0.178266840914764;0.0380878869143788;0.244297538886951;0.00245017175425536;48;0;0.3
"RScach2";"EI";0.3;0.104200232371204;97;3;32.52;0.005710005;1904;48;1904;3.6749956212858;0.00277229674480559;4101.67214509138;3.17902455166667e-08;30.4541414141414;0.483958057166392;0.0732703817408685;0.200508321941612;0.00325100339715198;48;0;0.3
"RScach2";"EE";0.25;0.104200232371204;79;21;47.22;0.005602141;1904;48;1904;4.20268507131059;0.00318125528812848;4023.75360698539;1.46637396544444e-08;48.6379797979798;0.235307319616518;0.0566747553280563;0.233396317813036;0.00307681280750736;48;0;0.25
"RScach2";"EI";0.25;0.104200232371204;98;2;34.74;0.005602141;1904;48;1904;4.20268507131059;0.00318125528812848;4023.75360698539;1.46637396544444e-08;34.76;0.486017193598012;0.0647280699421752;0.193482631233888;0.00245691869591773;48;0;0.25
"RScach2";"EE";0.2;0.104200232371204;54;46;48.18;0.006431249;1904;48;1904;4.88219727184048;0.00371203167419201;4623.1174293363;4.24138403877777e-08;30.209696969697;0.101802151482999;0.0208148380491338;0.273336630643421;0.00271039843592077;48;0;0.2
