"","SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file"
"112","SCorle",0.528689726683852,1938,112,1938,0.95,"2oT","laplace","2",2.27155425212127,0.827552514657738,"ref832_SC_1251.txt"
"113","SCside4",0.535403772264882,1421,98,1421,0.95,"2oT","laplace","2",2.65279054538646,0.968799813872112,"ref2715_SC_4218.txt"
"114","RScama",0.559289827066303,2236,69,2236,0.95,"2oT","laplace","2",2.11477467218907,0.768335744997858,"ref619_RS_969.txt"
"115","SPpesm6",0.629775694761977,1891,87,1891,0.95,"2oT","laplace","2",2.29961024909137,0.837409371919167,"ref1059_SP_1682.txt"
"116","PRtele",0.633149366825626,1040,105,1040,0.95,"2oT","laplace","2",3.10086836473021,1.12439364331174,"ref355_PR_580.txt"
"117","PEsvfer",0.636673590338369,1288,91,1288,0.95,"2oT","laplace","2",2.78639106287676,1.01247386380135,"ref1496_PE_2392.txt"
"118","RSmorr1",0.658177286403532,2810,109,2810,0.95,"2oT","laplace","2",1.88645669476136,0.685916778304908,"ref684_RS_1047.txt"
"119","SPpesmA",0.658259844116084,1670,84,1670,0.95,"2oT","laplace","2",2.44704392116198,0.890868412527069,"ref934_SP_1436.txt"
"120","RSvsol",0.666613829015203,1855,55,1855,0.95,"2oT","laplace","2",2.32181730106286,0.845869222873119,"ref618_RS_968.txt"
"121","SPeec5",0.67888901166382,1107,74,1107,0.95,"2oT","laplace","2",3.00556544889144,1.09079271569885,"ref2561_SP_3864.txt"
"122","SCside1",0.680355725623583,1413,111,1413,0.95,"2oT","laplace","2",2.66028961489207,0.961514507339591,"ref2572_SC_3878.txt"
"123","RSpet1",0.722472122747256,826,69,826,0.95,"2oT","laplace","2",3.47944500319611,1.27190274943804,"ref677_RS_1040.txt"
"124","SCside",0.72254784514244,1712,105,1712,0.95,"2oT","laplace","2",2.41684122261416,0.876998835304809,"ref813_SC_1230.txt"
"125","MGarap1",0.728749442631224,2080,92,2080,0.95,"2oT","laplace","2",2.19264504826757,0.796978331066443,"ref238_MG_321.txt"
"126","RSsini",0.73052961024989,1024,69,1024,0.95,"2oT","laplace","2",3.125,1.13489499063958,"ref741_RS_1124.txt"
"127","SPeec1",0.743179321289062,12105,144,1182.12890625,0.95,"2oT","laplace","2",2.90849004346246,1.0588089286574,"ref936_SP_1440.txt"
