"SiteCode"	"kernel_percentil"	"p"	"S.obs"	"DA"	"N"	"pSAD"	"U"	"theta"	"m"
"PRanto11"	"0.55"	0.921209867560648	99	1740	1740	93	0.004821214	NA	NA
"PRanto11"	"0.6"	0.921209867560648	99	1740	1740	89	0.006197099	NA	NA
"PRanto11"	"0.65"	0.921209867560648	99	1740	1740	91	0.00642024	NA	NA
"PRanto11"	"0.7"	0.921209867560648	99	1740	1740	88	0.005952349	NA	NA
"PRanto11"	"0.75"	0.921209867560648	99	1740	1740	89	0.005757946	NA	NA
"PRanto11"	"0.8"	0.921209867560648	99	1740	1740	94	0.00610032	NA	NA
"PRanto11"	"0.85"	0.921209867560648	99	1740	1740	92	0.006117506	NA	NA
"PRanto11"	"0.9"	0.921209867560648	99	1740	1740	93	0.006085394	NA	NA
"PRanto11"	"0.95"	0.921209867560648	99	1740	1740	93	0.006101544	NA	NA
"PRanto11"	"0.99"	0.921209867560648	99	1740	1740	95	0.003669509	NA	NA
"PRanto11"	"campo_medio"	0.921209867560648	99	1740	1740	100	NA	22.755425951979	0.9999
"PRanto12"	"0.25"	0.974966068885724	143	1439	1439	100	0.01088326	NA	NA
"PRanto12"	"0.5"	0.974966068885724	143	1439	1439	100	0.0144485	NA	NA
"PRanto12"	"0.55"	0.974966068885724	143	1439	1439	100	0.01340757	NA	NA
"PRanto12"	"0.6"	0.974966068885724	143	1439	1439	100	0.01323443	NA	NA
"PRanto12"	"0.65"	0.974966068885724	143	1439	1439	99	0.01388254	NA	NA
"PRanto12"	"0.7"	0.974966068885724	143	1439	1439	100	0.014708	NA	NA
"PRanto12"	"0.75"	0.974966068885724	143	1439	1439	100	0.01484459	NA	NA
"PRanto12"	"0.8"	0.974966068885724	143	1439	1439	100	0.01525165	NA	NA
"PRanto12"	"0.85"	0.974966068885724	143	1439	1439	100	0.01502258	NA	NA
"PRanto12"	"0.9"	0.974966068885724	143	1439	1439	100	0.0148245	NA	NA
"PRanto12"	"0.95"	0.974966068885724	143	1439	1439	100	0.01486763	NA	NA
"PRanto12"	"0.99"	0.974966068885724	143	1439	1439	100	0.007876684	NA	NA
"PRanto12"	"campo_medio"	0.974966068885724	143	1439	1439	100	NA	43.3942696443976	0.6247315181957
"PRanto13"	"0.25"	0.968871050376109	127	1673	1673	100	0.00764866	NA	NA
