sp,N,MeanDA,SiteCode,ha
Astronium concinnum,7,6.222222222,ESpedro1,1.125
Astronium graveolens,4,3.555555556,ESpedro1,1.125
Basiloxylon brasiliensis,1,0.888888889,ESpedro1,1.125
Brosimum glaziovii,1,0.888888889,ESpedro1,1.125
Brosimum sp.,14,12.44444444,ESpedro1,1.125
Byrsonima stipulacea,1,0.888888889,ESpedro1,1.125
Calophyllum pachyphyllum,1,0.888888889,ESpedro1,1.125
Campomanesia aromatica,8,7.111111111,ESpedro1,1.125
Carpotroche brasiliensis,13,11.55555556,ESpedro1,1.125
Casearia arborea,5,4.444444444,ESpedro1,1.125
Casearia commersoniana,19,16.88888889,ESpedro1,1.125
Casearia sp.,10,8.888888889,ESpedro1,1.125
Cecropia glaziovii,9,8,ESpedro1,1.125
Cecropia hololeuca,9,8,ESpedro1,1.125
Cedrela odorata,3,2.666666667,ESpedro1,1.125
Chrysobalanaceae sp.,4,3.555555556,ESpedro1,1.125
Chrysophyllum lucentifolium,7,6.222222222,ESpedro1,1.125
Chrysophyllum sp.,3,2.666666667,ESpedro1,1.125
Chrysophyllum splendens,1,0.888888889,ESpedro1,1.125
Citronella paniculata,12,10.66666667,ESpedro1,1.125
Clarisia racemosa,24,21.33333333,ESpedro1,1.125
Clusiaceae sp.1,1,0.888888889,ESpedro1,1.125
Clusiaceae sp.2,8,7.111111111,ESpedro1,1.125
Coccoloba lucidula,4,3.555555556,ESpedro1,1.125
Conchocarpus silvestris,5,4.444444444,ESpedro1,1.125
Connarus sp.,1,0.888888889,ESpedro1,1.125
Copaifera langsdorffii,2,1.777777778,ESpedro1,1.125
Cordia sellowiana,3,2.666666667,ESpedro1,1.125
Couepia carautae,2,1.777777778,ESpedro1,1.125
Couepia schottii,1,0.888888889,ESpedro1,1.125
Couratari asterotricha,5,4.444444444,ESpedro1,1.125
Coussarea contracta,1,0.888888889,ESpedro1,1.125
Coutarea hexandra,3,2.666666667,ESpedro1,1.125
Crepidospermum rhoifolium,6,5.333333333,ESpedro1,1.125
Cupania scrobiculata,1,0.888888889,ESpedro1,1.125
Cupania rugosa,1,0.888888889,ESpedro1,1.125
Dialium guianense,10,8.888888889,ESpedro1,1.125
Diplotropis incexis,4,3.555555556,ESpedro1,1.125
Duguetia lanceolata,8,7.111111111,ESpedro1,1.125
Ecclinusa ramiflora,23,20.44444444,ESpedro1,1.125
Emmotum aff. nitens,1,0.888888889,ESpedro1,1.125
Eriotheca macrophylla,39,34.66666667,ESpedro1,1.125
Erythroxylum sp.,3,2.666666667,ESpedro1,1.125
Eschweilera ovata,12,10.66666667,ESpedro1,1.125
Esenbeckia grandiflora,1,0.888888889,ESpedro1,1.125
Eugenia arvensis,1,0.888888889,ESpedro1,1.125
Eugenia pisiformis,6,5.333333333,ESpedro1,1.125
Eugenia pruinosa,1,0.888888889,ESpedro1,1.125
Eugenia sp.,3,2.666666667,ESpedro1,1.125
Exellodendron gracile,4,3.555555556,ESpedro1,1.125
Faramea bahiensis,8,7.111111111,ESpedro1,1.125
Ficus pakkensis,3,2.666666667,ESpedro1,1.125
Ficus gomelleira,1,0.888888889,ESpedro1,1.125
