"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.00471119
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.00446825
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.00462712
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.0046908
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.00465516
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.00448685
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.00446825
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.00439693
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.0046908
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00329948
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00336224
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00329948
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00311073
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00332076
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00311073
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00332076
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00311073
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00332076
"PRrico1",0.189679150380924,1018,64,1018,0.99,"1oT","laplace",2,3.13419570403611,0.806042626432888,"ref1159_PR_1776.txt",0.00362362
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.00289695
"PEmata2",0.21628955738904,1076,75,1076,0.99,"1oT","laplace",2,3.04855380424846,0.778390868681794,"ref1617_PE_2549.txt",0.00318241
