SiteCode,p,k,Ntotal,S_obs,DA,d,U_med,J_M,L,m,m_,ratio_J_JM
SPpesmB,0.877020152962385,0.35,1076,134,1076,4.34865424469345,0.01306118,1617418.9484356365,100,0.06055371842217309,0.053505279162439516,6.65257446773889e-4
SPpesmA,0.614794566702037,0.35,1670,84,1670,3.47457915994616,0.006300916,1759734.6035595213,100,0.04853433469841115,0.03040712748287844,9.4900674034709e-4
SPpesmK,0.999870427158468,0.35,1852,189,1852,3.29954564487428,0.01394835,3173842.6228998415,100,0.04611827193337242,0.046112571811598974,5.835197960470658e-4
SPpesmN,0.999653989121875,0.35,1431,150,1431,3.76871228778577,0.01312855,2451828.1071605156,100,0.052587480685282344,0.05257024140463287,5.836461356409093e-4
SPpecb1,0.960615159426555,0.35,11529,224,1125.87890625,4.22200906356132,0.001644964,1853710.0339144883,320,0.01857178235099393,0.017853394470173273,0.006219419320752208
SPeec1,0.429891122108479,0.35,12105,144,1182.12890625,4.14452117062624,0.001302844,871011.7140128647,320,0.018232496560806347,0.007920316196663928,0.013897631691117773
MGuberl7,0.887811622364622,0.3,945,73,945,5.24364028767106,0.0139765,1437981.5598133237,100,0.07278148393684107,0.06514819778133042,6.571711532397385e-4
SPjabo1,0.0155802041005414,0.3,1694,76,1323.4375,4.44594081223302,0.010060809,35340.87201137321,113.13708498984761,0.05480213555502683,9.025177625058611e-4,0.047933169262344345
SPpesm6,0.590593209876543,0.3,1892,88,1892,3.67491913819694,0.007405286,1915182.9370959993,100,0.05129595332501128,0.030944913112552885,9.87895183981144e-4
SPigua1,0.705151439190278,0.3,1826,173,1826,3.76422382995274,0.01216372,2206906.084664803,100,0.05252569486917241,0.03762121379234932,8.274026759400334e-4
MGvico4,0.203454803717689,0.3,1371,131,1371,4.33008868261704,0.01195295,478086.06506593927,100,0.06029921801238587,0.01288714888923574,0.002867684503230411
SPpesmC,0.883012144988627,0.3,1119,131,1119,4.78810076157593,0.01230874,1693547.7480516473,100,0.06656767490513633,0.05924141440653035,6.607431064682768e-4
SPcara1,0.850301625856528,0.3,2166,181,2166,3.44118403960924,0.010253693,3156691.5230985167,100,0.04807360401464915,0.04117336946959285,6.861614396435915e-4
SPcara3,0.756191086934286,0.3,1735,143,1735,3.85028864832013,0.0104199,2248701.0127528775,100,0.05371006812128584,0.04115398596361887,7.715565520540231e-4
MGuberl6,0.897604940383112,0.3,994,79,955.769230769231,5.18241906691588,0.01014635,1470411.740228197,101.98039027185568,0.07057599743991734,0.06381049906250345,6.760011313876877e-4
PRrico1,0.150749959057744,0.3,1019,66,1019,5.0624107618657,0.009559003,263288.6084233165,100,0.07031189944119627,0.01127263166694876,0.003870277586646087
RScamb1,0.444885569575086,0.3,1178,42,1178,4.66117257831006,0.0074336179999999995,898243.9314364613,100,0.06483260827783281,0.029919894391109127,0.0013114477691111767
PRdiam3,0.229984477843697,0.3,1130,77,1046.2962962963,4.98150782960037,0.00656789,412433.4639618817,103.92304845413246,0.06664087312997403,0.016155371320012074,0.002739835873513013
RSgaur,0.254016492149773,0.3,1540,84,1540,4.07584727991529,0.008048424,670476.1246029384,100,0.05681055846171722,0.015069458506189196,0.0022968752256644497
BAlenc4,0.480010759036093,0.3,1125,150,1092.23300970874,4.8388092688365,0.02859473,898601.1122594093,101.4889156509221,0.06629055775983594,0.0329561933503196,0.0012519459242280946
BAuruc,0.944174531065876,0.3,2530,458,2530,3.21762733118331,0.03852884,4094241.769542142,100,0.04498646582209895,0.04258201534283212,6.179410358277228e-4
BAjuss,0.822843111251237,0.3,1400,265,1400,4.30260609010946,0.03265092,1974448.2505442381,100,0.059922417903486076,0.049835789028162304,7.09058847004019e-4
PEsvfer,0.764221922515876,0.3,1390,120,1390,4.3064154373316,0.008326947,1820685.6707782818,100,0.05997465047092739,0.04649136347051054,7.634486404266706e-4
PEalia,0.718189314043546,0.3,649,79,649,6.25613536047169,0.01766027,798885.0940970514,100,0.08651815325290442,0.06368926832550115,8.123821620849483e-4
PEcabo2,0.775969806576159,0.3,1575,81,1575,4.05189833292993,0.005194415,2094720.4052448557,100,0.05648160175284437,0.044389706474223176,7.518903220002268e-4
PEbrejo,0.652514641031126,0.3,1553,62,1553,4.09515878715287,0.002874093,1736850.3429020736,100,0.0570757746940296,0.03799636030009763,8.941472743155974e-4
PEcaru1,0.633257700082464,0.3,1424,92,1424,4.26488510616051,0.006064683,1545578.795509876,100,0.05940512134251439,0.03845657982328841,9.2133769183229e-4
MGubera,0.819681253972354,0.3,805,90,805,5.68133299050517,0.01418058,1130945.210057057,100,0.0787323044466581,0.06546479182144785,7.117939868717311e-4
PEmata2,0.657696033445498,0.3,1145,88,1145,4.74268085551406,0.0089227419999999991,1290718.0740394613,100,0.06594698479388192,0.04437478287008273,8.8710309635363e-4
MGlavr2,0.0596977983809989,0.3,3120,175,1500,4.13208154470686,0.01218023,153479.45776964532,144.22205101855957,0.040107958085703,0.002488195612537694,0.0203284533665916
MGipia1,0.892023291310984,0.3,837,50,837,5.541432022909,0.0051166020000000005,1279682.8051941881,100,0.07683230977381753,0.06910954957286387,6.54068333654751e-4
MGvico1,0.230771788647624,0.3,1826,94,1826,3.75112205110192,0.01176463,722244.3807534995,100,0.052345330955738026,0.012586632781007263,0.002528230123569781
SPeec4,0.368274401173212,0.3,1218,86,1218,4.60865199351877,0.004480709,768810.8478292332,100,0.06411419787504927,0.024608318207113546,0.0015842648467292958
SPeec5,0.412073966642495,0.3,1111,77,1111,4.82789351871655,0.004736548,784675.1867077601,100,0.06711129712720532,0.028790802083273108,0.0014158724766885926
MGvico3,0.201646421828803,0.3,1639,121,1639,3.95967701107134,0.009459064,566461.1839974624,100,0.05521433721514013,0.011647188152139209,0.0028934021364601433
MSdour,0.0753116519366682,0.3,1046,124,1046,4.93644137193217,0.01365524,135018.89226522692,100,0.06859340070951069,0.005515731479220308,0.007747064003052773
SCside1,0.667485387440862,0.3,1417,115,1417,4.26309779989322,0.008164874,1621109.291850584,100,0.05938060712074599,0.04043405470858614,8.740928246623136e-4
MGvico16,0.210647243466788,0.3,1653,91,1653,3.94800629511483,0.00813366,596800.6893785914,100,0.05505390278354416,0.012123816970363683,0.0027697689185331846
SPpesmL,0.999872716858652,0.3,1596,175,1596,4.00603365859535,0.01519411,2735131.97949214,100,0.055851456029396576,0.055844744078049145,5.835184597915987e-4
SPpesmS,0.834564677800723,0.3,2184,141,2184,3.43104684870702,0.006506369,3124016.4777567065,100,0.04793372574188825,0.04032355742220992,6.991000257361915e-4
PRrico3,0.104369417595287,0.3,1162,46,1162,4.71185338690393,0.005765516,207864.37811264026,100,0.06552559151974155,0.0072652410166240385,0.005590183419355866
PRanto4,0.910542733134695,0.3,1922,129,1922,3.65445513900496,0.007407856,2999538.207582168,100,0.051014048088498694,0.046663422912953015,6.407653001857452e-4
