"SiteCode"	"kernel_percentil"	"p"	"S"	"DA"	"J"	"sd_k"	"U"	"GOF"	"theta"	"m"
"PEmata2"	"0.25"	0.21628955738904	75	1076	1076	5.60921290564963	0.009127734	100	NA	NA
"PEmata2"	"0.5"	0.21628955738904	75	1076	1076	3.1928157895701	0.008219256	94	NA	NA
"PEmata2"	"0.55"	0.21628955738904	75	1076	1076	2.89678829486915	0.008481998	95	NA	NA
"PEmata2"	"0.6"	0.21628955738904	75	1076	1076	2.63888605671261	0.008507147	95	NA	NA
"PEmata2"	"0.65"	0.21628955738904	75	1076	1076	2.40848433930433	0.008498407	98	NA	NA
"PEmata2"	"0.7"	0.21628955738904	75	1076	1076	2.18260598634148	0.008174298	98	NA	NA
"PEmata2"	"0.75"	0.21628955738904	75	1076	1076	1.96821236381603	0.007202114	80	NA	NA
"PEmata2"	"0.8"	0.21628955738904	75	1076	1076	1.76369226281671	0.00711971	78	NA	NA
"PEmata2"	"0.85"	0.21628955738904	75	1076	1076	1.57180916644151	0.00667446	74	NA	NA
"PEmata2"	"0.9"	0.21628955738904	75	1076	1076	1.35794780777642	0.007203475	78	NA	NA
"PEmata2"	"0.95"	0.21628955738904	75	1076	1076	1.11954324956203	0.007069247	72	NA	NA
"PEmata2"	"0.99"	0.21628955738904	75	1076	1076	0.776374374239971	0.007251995	85	NA	NA
"PEmata2"	"campo_medio"	0.21628955738904	75	1076	1076	NA	NA	97	18.1736254233549	0.99987012831315
"PEsvfer"	"0.25"	0.636673590338369	91	1288	1288	5.11105574723164	0.008663558	66	NA	NA
"PEsvfer"	"0.5"	0.636673590338369	91	1288	1288	2.92667377822391	0.008133692	100	NA	NA
"PEsvfer"	"0.55"	0.636673590338369	91	1288	1288	2.64851215367041	0.00829563	100	NA	NA
"PEsvfer"	"0.6"	0.636673590338369	91	1288	1288	2.40218064522054	0.007902782	100	NA	NA
"PEsvfer"	"0.65"	0.636673590338369	91	1288	1288	2.19132042120694	0.007660924	99	NA	NA
"PEsvfer"	"0.7"	0.636673590338369	91	1288	1288	2.00067284303581	0.00786774	100	NA	NA
"PEsvfer"	"0.75"	0.636673590338369	91	1288	1288	1.80273485028049	0.007693188	100	NA	NA
"PEsvfer"	"0.8"	0.636673590338369	91	1288	1288	1.62943098821278	0.007601071	100	NA	NA
"PEsvfer"	"0.85"	0.636673590338369	91	1288	1288	1.44313471407013	0.007381095	100	NA	NA
"PEsvfer"	"0.9"	0.636673590338369	91	1288	1288	1.23974246618856	0.008002487	100	NA	NA
"PEsvfer"	"0.95"	0.636673590338369	91	1288	1288	1.01396043389039	0.007708854	100	NA	NA
"PEsvfer"	"0.99"	0.636673590338369	91	1288	1288	0.710608770379455	0.007634016	100	NA	NA
"PEsvfer"	"campo_medio"	0.636673590338369	91	1288	1288	NA	NA	100	31.0621422471849	0.21365673229643
"PRanto10"	"0.25"	0.923024383580357	132	1877	1877	4.21658589302401	0.006134134	40	NA	NA
"PRanto10"	"0.5"	0.923024383580357	132	1877	1877	2.40972459664002	0.008012732	42	NA	NA
"PRanto10"	"0.55"	0.923024383580357	132	1877	1877	2.20330743220509	0.008316274	42	NA	NA
"PRanto10"	"0.6"	0.923024383580357	132	1877	1877	2.00160365921508	0.008873388	24	NA	NA
"PRanto10"	"0.65"	0.923024383580357	132	1877	1877	1.81886514435142	0.009167942	27	NA	NA
"PRanto10"	"0.7"	0.923024383580357	132	1877	1877	1.65485303219963	0.009296236	30	NA	NA
"PRanto10"	"0.75"	0.923024383580357	132	1877	1877	1.50546746818252	0.00881231	27	NA	NA
"PRanto10"	"0.8"	0.923024383580357	132	1877	1877	1.34354853268595	0.008996096	27	NA	NA
"PRanto10"	"0.85"	0.923024383580357	132	1877	1877	1.19034365882326	0.00861658	31	NA	NA
"PRanto10"	"0.9"	0.923024383580357	132	1877	1877	1.02237832798398	0.00900122	32	NA	NA
"PRanto10"	"0.95"	0.923024383580357	132	1877	1877	0.839251182023893	0.008967167	32	NA	NA
"PRanto10"	"campo_medio"	0.923024383580357	132	1877	1877	NA	NA	73	32.2472312356018	0.999612164092422
"PRanto10"	"0.99"	0.923024383580357	132	1877	1877	0.596191618385663	0.004817102	26	NA	NA
"PRanto11"	"0.25"	0.921209867560648	99	1740	1740	4.40236415054312	0.004196014	92	NA	NA
"PRanto11"	"0.5"	0.921209867560648	99	1740	1740	2.5171598708199	0.004740438	88	NA	NA
"PRanto11"	"0.55"	0.921209867560648	99	1740	1740	2.28728828027785	0.004821214	93	NA	NA
"PRanto11"	"0.6"	0.921209867560648	99	1740	1740	2.07169599854839	0.006197099	89	NA	NA
"PRanto11"	"0.65"	0.921209867560648	99	1740	1740	1.89065991949337	0.00642024	91	NA	NA
"PRanto11"	"0.7"	0.921209867560648	99	1740	1740	1.71224835697406	0.005952349	88	NA	NA
"PRanto11"	"0.75"	0.921209867560648	99	1740	1740	1.5534232501405	0.005757946	89	NA	NA
"PRanto11"	"0.8"	0.921209867560648	99	1740	1740	1.3982892944863	0.00610032	94	NA	NA
"PRanto11"	"0.85"	0.921209867560648	99	1740	1740	1.23923577133422	0.006117506	92	NA	NA
"PRanto11"	"0.9"	0.921209867560648	99	1740	1740	1.06784342144389	0.006085394	93	NA	NA
"PRanto11"	"0.95"	0.921209867560648	99	1740	1740	0.871799304719883	0.006101544	93	NA	NA
"PRanto11"	"campo_medio"	0.921209867560648	99	1740	1740	NA	NA	98	22.5231781272833	0.989273187317774
"PRanto11"	"0.99"	0.921209867560648	99	1740	1740	0.61416845448275	0.003669509	95	NA	NA
"PRanto12"	"0.25"	0.974966068885724	143	1439	1439	4.84574759559851	0.01088326	100	NA	NA
"PRanto12"	"0.5"	0.974966068885724	143	1439	1439	2.75022679404289	0.0144485	100	NA	NA
"PRanto12"	"0.55"	0.974966068885724	143	1439	1439	2.51921719101687	0.01340757	100	NA	NA
"PRanto12"	"0.6"	0.974966068885724	143	1439	1439	2.27722825979321	0.01323443	100	NA	NA
"PRanto12"	"0.65"	0.974966068885724	143	1439	1439	2.07428829023697	0.01388254	99	NA	NA
"PRanto12"	"0.7"	0.974966068885724	143	1439	1439	1.88313112340545	0.014708	100	NA	NA
"PRanto12"	"0.75"	0.974966068885724	143	1439	1439	1.71133178482337	0.01484459	100	NA	NA
"PRanto12"	"0.8"	0.974966068885724	143	1439	1439	1.53760755913932	0.01525165	100	NA	NA
"PRanto12"	"0.85"	0.974966068885724	143	1439	1439	1.36417567858108	0.01502258	100	NA	NA
"PRanto12"	"0.9"	0.974966068885724	143	1439	1439	1.17566626314444	0.0148245	100	NA	NA
"PRanto12"	"0.95"	0.974966068885724	143	1439	1439	0.960637209588625	0.01486763	100	NA	NA
"PRanto12"	"0.99"	0.974966068885724	143	1439	1439	0.671797271817237	0.007876684	100	NA	NA
"PRanto12"	"campo_medio"	0.974966068885724	143	1439	1439	NA	NA	100	42.9473438018489	0.639118327142384
"PRanto13"	"0.25"	0.968871050376109	127	1673	1673	4.48644470000442	0.00764866	100	NA	NA
