"SiteCode"	"kernel_percentil"	"par.value"	"par.class"	"par.method"	"GOF"	"p"	"J"	"S"
"113"	"BAuruc"	"0.55"	29847.8401958639	"theta"	"H01"	100	0.769444718591026	1784	230
"114"	"BAuruc"	"0.55"	15255.6174142648	"theta"	"E05"	100	0.769444718591026	1784	230
"115"	"BAuruc"	"0.55"	0.0202985078800856	"m"	"CL"	100	0.769444718591026	1784	230
"116"	"BAuruc"	"0.55"	0.0359437172936957	"m"	"CaCL"	100	0.769444718591026	1784	230
"117"	"BAuruc"	"0.6"	33417.9032762913	"theta"	"H01"	100	0.769444718591026	1784	230
"118"	"BAuruc"	"0.6"	17125.8534555443	"theta"	"E05"	100	0.769444718591026	1784	230
"119"	"BAuruc"	"0.6"	0.018438333903924	"m"	"CL"	100	0.769444718591026	1784	230
"120"	"BAuruc"	"0.6"	0.0296577439553279	"m"	"CaCL"	100	0.769444718591026	1784	230
"121"	"BAuruc"	"0.65"	32003.841040473	"theta"	"H01"	98	0.769444718591026	1784	230
"122"	"BAuruc"	"0.65"	16383.8825111185	"theta"	"E05"	98	0.769444718591026	1784	230
"123"	"BAuruc"	"0.65"	0.0168263882379239	"m"	"CL"	98	0.769444718591026	1784	230
"124"	"BAuruc"	"0.65"	0.0246988408121805	"m"	"CaCL"	98	0.769444718591026	1784	230
"125"	"BAuruc"	"0.7"	34171.8391902456	"theta"	"H01"	100	0.769444718591026	1784	230
"126"	"BAuruc"	"0.7"	17522.0910370873	"theta"	"E05"	100	0.769444718591026	1784	230
"127"	"BAuruc"	"0.7"	0.0152314970674043	"m"	"CL"	100	0.769444718591026	1784	230
"128"	"BAuruc"	"0.7"	0.0202385755794842	"m"	"CaCL"	100	0.769444718591026	1784	230
"129"	"BAuruc"	"0.75"	32884.1741923504	"theta"	"H01"	99	0.769444718591026	1784	230
"130"	"BAuruc"	"0.75"	16845.617079832	"theta"	"E05"	99	0.769444718591026	1784	230
"131"	"BAuruc"	"0.75"	0.0138411264346929	"m"	"CL"	99	0.769444718591026	1784	230
"132"	"BAuruc"	"0.75"	0.0167123542283931	"m"	"CaCL"	99	0.769444718591026	1784	230
"133"	"BAuruc"	"0.8"	33235.1845931902	"theta"	"H01"	99	0.769444718591026	1784	230
"134"	"BAuruc"	"0.8"	17029.8912128397	"theta"	"E05"	99	0.769444718591026	1784	230
"135"	"BAuruc"	"0.8"	0.0124450652182301	"m"	"CL"	99	0.769444718591026	1784	230
"136"	"BAuruc"	"0.8"	0.013511050408448	"m"	"CaCL"	99	0.769444718591026	1784	230
"137"	"BAuruc"	"0.85"	31652.597282439	"theta"	"H01"	100	0.769444718591026	1784	230
"138"	"BAuruc"	"0.85"	16199.8244176783	"theta"	"E05"	100	0.769444718591026	1784	230
"139"	"BAuruc"	"0.85"	0.0110149578863841	"m"	"CL"	100	0.769444718591026	1784	230
"140"	"BAuruc"	"0.85"	0.0105842586108414	"m"	"CaCL"	100	0.769444718591026	1784	230
"141"	"BAuruc"	"0.9"	31648.6164832429	"theta"	"H01"	99	0.769444718591026	1784	230
"142"	"BAuruc"	"0.9"	16197.7389593286	"theta"	"E05"	99	0.769444718591026	1784	230
"143"	"BAuruc"	"0.9"	0.00953109741059673	"m"	"CL"	99	0.769444718591026	1784	230
"144"	"BAuruc"	"0.9"	0.00792465888031826	"m"	"CaCL"	99	0.769444718591026	1784	230
"145"	"BAuruc"	"0.95"	32070.69101318	"theta"	"H01"	99	0.769444718591026	1784	230
"146"	"BAuruc"	"0.95"	16418.9240329412	"theta"	"E05"	99	0.769444718591026	1784	230
"147"	"BAuruc"	"0.95"	0.00770020239969442	"m"	"CL"	99	0.769444718591026	1784	230
"148"	"BAuruc"	"0.95"	0.00517248264362745	"m"	"CaCL"	99	0.769444718591026	1784	230
"149"	"BAuruc"	"0.99"	17308.2678205658	"theta"	"H01"	99	0.769444718591026	1784	230
"150"	"BAuruc"	"0.99"	8764.63475619646	"theta"	"E05"	99	0.769444718591026	1784	230
"151"	"BAuruc"	"0.99"	0.00544929799176523	"m"	"CL"	99	0.769444718591026	1784	230
"152"	"BAuruc"	"0.99"	0.0025904539478696	"m"	"CaCL"	99	0.769444718591026	1784	230
"153"	"BAuruc"	"campo_medio"	5.74752622202783e-05	"U"	"H01"	100	0.769444718591026	1784	230
"154"	"BAuruc"	"campo_medio"	0.000114937479780181	"U"	"E05"	100	0.769444718591026	1784	230
"155"	"BAuruc"	"campo_medio"	67.0789039211082	"sd_k"	"CL"	100	0.769444718591026	1784	230
"156"	"BAuruc"	"campo_medio"	210.904834226223	"sd_k"	"CaCL"	100	0.769444718591026	1784	230
"157"	"ESsoor"	"0.25"	37047.73984	"theta"	"H01"	100	1	1468	226
"158"	"ESsoor"	"0.25"	19003.4320165088	"theta"	"E05"	100	1	1468	226
"159"	"ESsoor"	"0.25"	0.0430953599135643	"m"	"CL"	100	1	1468	226
"160"	"ESsoor"	"0.25"	0.162015208772412	"m"	"CaCL"	100	1	1468	226
"161"	"ESsoor"	"0.5"	39986.9254	"theta"	"H01"	98	1	1468	226
"162"	"ESsoor"	"0.5"	20553.287486458	"theta"	"E05"	98	1	1468	226
"163"	"ESsoor"	"0.5"	0.0245509873623745	"m"	"CL"	98	1	1468	226
"164"	"ESsoor"	"0.5"	0.0525814654860208	"m"	"CaCL"	98	1	1468	226
"165"	"ESsoor"	"0.55"	43142.99328	"theta"	"H01"	100	1	1468	226
"166"	"ESsoor"	"0.55"	22224.6258924069	"theta"	"E05"	100	1	1468	226
"167"	"ESsoor"	"0.55"	0.0223029506235593	"m"	"CL"	100	1	1468	226
"168"	"ESsoor"	"0.55"	0.0433929730230977	"m"	"CaCL"	100	1	1468	226
"169"	"ESsoor"	"0.6"	38856.69752	"theta"	"H01"	98	1	1468	226
"170"	"ESsoor"	"0.6"	19956.5551428539	"theta"	"E05"	98	1	1468	226
"171"	"ESsoor"	"0.6"	0.0203885549860887	"m"	"CL"	98	1	1468	226
"172"	"ESsoor"	"0.6"	0.0362633276624913	"m"	"CaCL"	98	1	1468	226
"173"	"ESsoor"	"0.65"	44337.59296	"theta"	"H01"	100	1	1468	226
"174"	"ESsoor"	"0.65"	22859.1755560296	"theta"	"E05"	100	1	1468	226
"175"	"ESsoor"	"0.65"	0.0185572245071005	"m"	"CL"	100	1	1468	226
"176"	"ESsoor"	"0.65"	0.0300414440248708	"m"	"CaCL"	100	1	1468	226
"177"	"ESsoor"	"0.7"	46932.82612	"theta"	"H01"	100	1	1468	226
"178"	"ESsoor"	"0.7"	24241.392716994	"theta"	"E05"	100	1	1468	226
"179"	"ESsoor"	"0.7"	0.0168315456860303	"m"	"CL"	100	1	1468	226
"180"	"ESsoor"	"0.7"	0.0247139839920507	"m"	"CaCL"	100	1	1468	226
"181"	"ESsoor"	"0.75"	44870.28612	"theta"	"H01"	100	1	1468	226
"182"	"ESsoor"	"0.75"	23142.4759251222	"theta"	"E05"	100	1	1468	226
"183"	"ESsoor"	"0.75"	0.0152323692529271	"m"	"CL"	100	1	1468	226
"184"	"ESsoor"	"0.75"	0.0202408934472465	"m"	"CaCL"	100	1	1468	226
"185"	"ESsoor"	"0.8"	45808.44088	"theta"	"H01"	100	1	1468	226
"186"	"ESsoor"	"0.8"	23641.9275461626	"theta"	"E05"	100	1	1468	226
"187"	"ESsoor"	"0.8"	0.0136685801505218	"m"	"CL"	100	1	1468	226
"188"	"ESsoor"	"0.8"	0.0162982722496992	"m"	"CaCL"	100	1	1468	226
"189"	"ESsoor"	"0.85"	45478.09684	"theta"	"H01"	99	1	1468	226
"190"	"ESsoor"	"0.85"	23465.9849724005	"theta"	"E05"	99	1	1468	226
"191"	"ESsoor"	"0.85"	0.0120861365736396	"m"	"CL"	99	1	1468	226
"192"	"ESsoor"	"0.85"	0.0127429434412154	"m"	"CaCL"	99	1	1468	226
"193"	"ESsoor"	"0.9"	46029.08128	"theta"	"H01"	100	1	1468	226
"194"	"ESsoor"	"0.9"	23759.4870511493	"theta"	"E05"	100	1	1468	226
"195"	"ESsoor"	"0.9"	0.0104779063399495	"m"	"CL"	100	1	1468	226
"196"	"ESsoor"	"0.9"	0.0095773152860674	"m"	"CaCL"	100	1	1468	226
"197"	"ESsoor"	"0.95"	46392.51404	"theta"	"H01"	99	1	1468	226
"198"	"ESsoor"	"0.95"	23953.2073720411	"theta"	"E05"	99	1	1468	226
"199"	"ESsoor"	"0.95"	0.00852528990558184	"m"	"CL"	99	1	1468	226
"200"	"ESsoor"	"0.95"	0.00634034767305842	"m"	"CaCL"	99	1	1468	226
"201"	"ESsoor"	"0.99"	25105.04604	"theta"	"H01"	100	1	1468	226
