"SiteCode"	"kernel_percentil"	"GOF"	"p"	"J"	"S"	"DA"	"J_M"	"sd_k"	"sd_k_"	"U"	"U_"	"theta"	"theta_"	"m"	"m_"	"S_M"	"S_M_"	"spp_I"	"spp_I_"
"29"	"BAuruc"	"0.55"	100	0.769444718591026	1784	230	1784	686344.688983195	2.25459735826264	NA	0.02174406	NA	NA	15255.6174142648	NA	0.0278878101069196	58404.9144852145	NA	NA	2.32231433011175
"30"	"BAuruc"	"0.6"	100	0.769444718591026	1784	230	1784	686344.688983195	2.04798397774527	NA	0.02434484	NA	NA	17125.8534555443	NA	0.0229771061479084	63630.094234289	NA	NA	2.48568295276181
"31"	"BAuruc"	"0.65"	98	0.769444718591026	1784	230	1784	686344.688983195	1.86894183032752	NA	0.0233147	NA	NA	16383.8825111185	NA	0.0191132319272812	61581.7173259928	NA	NA	2.27632207246057
"32"	"BAuruc"	"0.7"	100	0.769444718591026	1784	230	1784	686344.688983195	1.69179396108449	NA	0.02489408	NA	NA	17522.0910370873	NA	0.0156454685764544	64711.3712097402	NA	NA	2.32542664521175
"33"	"BAuruc"	"0.75"	99	0.769444718591026	1784	230	1784	686344.688983195	1.53736261203975	NA	0.02395602	NA	NA	16845.617079832	NA	0.0129089725362968	62860.1119247488	NA	NA	2.14277577819904
"34"	"BAuruc"	"0.8"	99	0.769444718591026	1784	230	1784	686344.688983195	1.38229919805857	NA	0.02421173	NA	NA	17029.8912128397	NA	0.0104284915898564	63366.9219713533	NA	NA	2.07010990832622
"35"	"BAuruc"	"0.85"	100	0.769444718591026	1784	230	1784	686344.688983195	1.22345421144872	NA	0.02305882	NA	NA	16199.8244176783	NA	0.00816392395863575	61068.6794510032	NA	NA	1.87321729111111
"36"	"BAuruc"	"0.9"	99	0.769444718591026	1784	230	1784	686344.688983195	1.05863875168664	NA	0.02305592	NA	NA	16197.7389593286	NA	0.00610874804434803	61062.8551177312	NA	NA	1.77009157375878
"37"	"BAuruc"	"0.95"	99	0.769444718591026	1784	230	1784	686344.688983195	0.855277446549211	NA	0.0233634	NA	NA	16418.9240329412	NA	0.00398469136870481	61679.1667687301	NA	NA	1.65905335757812
"38"	"BAuruc"	"0.99"	99	0.769444718591026	1784	230	1784	686344.688983195	0.60526482681386	NA	0.01260902	NA	NA	8764.63475619646	NA	0.00199440225140413	38330.808575181	NA	NA	0.788610181584224
"39"	"BAuruc"	"campo_medio"	100	0.769444718591026	1784	230	1784	686344.688983195	NA	210.904834226223	NA	0.000114937479780181	78.895681945609	NA	0.603922316701086	NA	NA	715.673417199512	0.0347329309083061	NA
"40"	"ESsoor"	"0.25"	100	1	1468	226	1468	734000	4.78669098184422	NA	0.02523688	NA	NA	19003.4320165088	NA	0.162015208772412	69922.2515741412	NA	NA	5.96012280713261
"41"	"ESsoor"	"0.5"	98	1	1468	226	1468	734000	2.72692907168088	NA	0.02723905	NA	NA	20553.287486458	NA	0.0525814654860208	74055.7265381653	NA	NA	4.50354053210256
"42"	"ESsoor"	"0.55"	100	1	1468	226	1468	734000	2.4772349699	NA	0.02938896	NA	NA	22224.6258924069	NA	0.0433929730230977	78389.3889888009	NA	NA	4.615981742841
"43"	"ESsoor"	"0.6"	98	1	1468	226	1468	734000	2.26459907703493	NA	0.02646914	NA	NA	19956.5551428539	NA	0.0362633276624913	72477.8318225057	NA	NA	3.94983726544354
"44"	"ESsoor"	"0.65"	100	1	1468	226	1468	734000	2.06118940355428	NA	0.03020272	NA	NA	22859.1755560296	NA	0.0300414440248708	80003.1840529451	NA	NA	4.30901181513887
"45"	"ESsoor"	"0.7"	100	1	1468	226	1468	734000	1.86951467878243	NA	0.03197059	NA	NA	24241.392716994	NA	0.0247139839920507	83461.7467449734	NA	NA	4.35227646515977
"46"	"ESsoor"	"0.75"	100	1	1468	226	1468	734000	1.69189083653895	NA	0.03056559	NA	NA	23142.4759251222	NA	0.0202408934472465	80718.2984478843	NA	NA	3.9603435939036
"47"	"ESsoor"	"0.8"	100	1	1468	226	1468	734000	1.51819753849009	NA	0.03120466	NA	NA	23641.9275461626	NA	0.0162982722496992	81971.1152930804	NA	NA	3.84832236634297
"48"	"ESsoor"	"0.85"	99	1	1468	226	1468	734000	1.34243224928188	NA	0.03097963	NA	NA	23465.9849724005	NA	0.0127429434412154	81530.9250025811	NA	NA	3.61726147456832
"49"	"ESsoor"	"0.9"	100	1	1468	226	1468	734000	1.16380278263457	NA	0.03135496	NA	NA	23759.4870511493	NA	0.0095773152860674	82264.5516340317	NA	NA	3.44851419637705
"50"	"ESsoor"	"0.95"	99	1	1468	226	1468	734000	0.946921626609083	NA	0.03160253	NA	NA	23953.2073720411	NA	0.00634034767305842	82746.9011133193	NA	NA	3.20371769410379
"51"	"ESsoor"	"0.99"	100	1	1468	226	1468	734000	0.662264944152733	NA	0.01710153	NA	NA	12770.9079844941	NA	0.00310133397050476	51959.625409665	NA	NA	1.50150002619885
"52"	"ESsoor"	"campo_medio"	100	1	1468	226	1468	734000	NA	207.787669950497	NA	0.000115935002510298	85.1060426768275	NA	0.596327834817066	NA	NA	771.272932510484	0.0452691408572497	NA
"53"	"MGarap1"	"0.25"	66	0.728749442631224	2080	92	2080	757899.420336473	4.02302948345674	NA	0.003375713	NA	NA	2567.11338824647	NA	0.0860726377407017	14609.8433444938	NA	NA	0.459910259852782
"54"	"MGarap1"	"0.5"	53	0.728749442631224	2080	92	2080	757899.420336473	2.2934883158178	NA	0.004105701	NA	NA	3124.53269930193	NA	0.0273816842068703	17170.5133588692	NA	NA	0.406085417275153
"55"	"MGarap1"	"0.55"	55	0.728749442631224	2080	92	2080	757899.420336473	2.09228021289514	NA	0.004588384	NA	NA	3493.55877468196	NA	0.0227491334042623	18810.1396501815	NA	NA	0.43385863155595
"56"	"MGarap1"	"0.6"	47	0.728749442631224	2080	92	2080	757899.420336473	1.89959962513525	NA	0.004276538	NA	NA	3255.10196194302	NA	0.0187242170244387	17755.3399416389	NA	NA	0.386041843081191
"57"	"MGarap1"	"0.65"	45	0.728749442631224	2080	92	2080	757899.420336473	1.72972605512572	NA	0.004297878	NA	NA	3271.41508994281	NA	0.0155066269229366	17828.0379883615	NA	NA	0.371633623600251
"58"	"MGarap1"	"0.7"	38	0.728749442631224	2080	92	2080	757899.420336473	1.57996447668081	NA	0.004126534	NA	NA	3140.45278525851	NA	0.0129253484627457	17242.1054762128	NA	NA	0.342714892394256
"59"	"MGarap1"	"0.75"	44	0.728749442631224	2080	92	2080	757899.420336473	1.42235614384459	NA	0.00404552	NA	NA	3078.54754309616	NA	0.0104657038717215	16963.2662970659	NA	NA	0.321204569436156
"60"	"MGarap1"	"0.8"	49	0.728749442631224	2080	92	2080	757899.420336473	1.27381172936718	NA	0.004178105	NA	NA	3179.86498931109	NA	0.00838740162824625	17418.9974093229	NA	NA	0.317078220563895
"61"	"MGarap1"	"0.85"	53	0.728749442631224	2080	92	2080	757899.420336473	1.13431707090679	NA	0.004495772	NA	NA	3422.72629402931	NA	0.00664668789884115	18498.5521327341	NA	NA	0.326031624226917
"62"	"MGarap1"	"0.9"	43	0.728749442631224	2080	92	2080	757899.420336473	0.975688854428472	NA	0.004281329	NA	NA	3258.76432826349	NA	0.00491450330255638	17771.6680025325	NA	NA	0.293292269203835
"63"	"MGarap1"	"0.95"	45	0.728749442631224	2080	92	2080	757899.420336473	0.793629882580749	NA	0.004083694	NA	NA	3107.71619371149	NA	0.00324955757772912	17094.8026884783	NA	NA	0.259936764468573
"64"	"MGarap1"	"campo_medio"	94	0.728749442631224	2080	92	2080	757899.420336473	NA	70268.1982399902	NA	2.57985927180841e-05	19.5532171134246	NA	0.998993365100629	NA	NA	206.583738481338	0.00939585287792961	NA
"65"	"MGarap1"	"0.99"	59	0.728749442631224	2080	92	2080	757899.420336473	0.56012339505749	NA	0.0023688	NA	NA	1799.57260568138	NA	0.00161767801169197	10879.0998028442	NA	NA	0.134403507803594
