SiteCode,k,MN,U,GOF,p,d,m_,I,J,S,DA,S_m,S_sd,KS.D_mean,KS.D_sd,KS.p_mean,KS.p_sd
BAlenc4,0.25,EI,0.0136963,3,0.159514416903022,4.425156700745524,0.0564796572764088,53.395620644626284,893,61,866.990291262136,142.41,8.942120282769359,0.26083100265761067,0.029341767072313236,0.012332019815194129,0.0178932868866869
BAuruc,0.99,EI,0.01260902,13,0.769444718591026,0.4279868634537816,0.00199440225140413,3.5631255198123126,1784,230,1784,22.57,4.269352847607438,0.4062014044377607,0.09117846386472286,0.02718709197212921,0.07510754809405645
BAuruc,0.95,EI,0.0233634,7,0.769444718591026,0.604772482250862,0.00398469136870481,7.1331280240700545,1784,230,1784,39.88,5.318692024218439,0.3250681589425198,0.06456493215788002,0.01104856680545691,0.02175234333069509
BAuruc,0.9,EI,0.02305592,5,0.769444718591026,0.7485706401444847,0.00610874804434803,10.95884257119766,1784,230,1784,56.91,6.7914012775811825,0.28324710273650966,0.05678741464647755,0.01117224766961999,0.025994890219890876
BAuruc,0.85,EI,0.02305882,7,0.769444718591026,0.86511276938663,0.00816392395863575,14.676090908434025,1784,230,1784,72.04,7.392215397622588,0.24698462804709692,0.04523692049391616,0.013254832696442708,0.026508199924784794
BAuruc,0.8,EI,0.02421173,18,0.769444718591026,0.9774331365759412,0.0104284915898564,18.789951354386996,1784,230,1784,85.9,8.02332458359609,0.2108504701755698,0.04147203927564388,0.027581826335128727,0.04082598605064978
BAuruc,0.75,EI,0.02395602,18,0.769444718591026,1.0870795281159706,0.0129089725362968,23.317705654115624,1784,230,1784,102.06,8.190682067280644,0.1935320116588282,0.038890622995977016,0.03416437234870453,0.0599806521366256
BAuruc,0.7,EI,0.02489408,42,0.769444718591026,1.1962789822532929,0.0156454685764544,28.33925133810882,1784,230,1784,118.41,9.718351899183505,0.16227491080020845,0.03253122515970249,0.07129747397525449,0.09857524635528155
BAuruc,0.65,EI,0.0233147,56,0.769444718591026,1.3215414418677873,0.0191132319272812,34.742942443093405,1784,230,1784,139.28,9.380917660954932,0.14168698992880052,0.03126724894349057,0.12253370429459931,0.15540877939142264
BAuruc,0.6,EI,0.02434484,81,0.769444718591026,1.4481433584250798,0.0229771061479084,41.93164819321289,1784,230,1784,157.61,10.591491725422665,0.11823680495501146,0.028921707727278034,0.22270867872385944,0.21595813086785215
BAuruc,0.55,EI,0.02174406,93,0.769444718591026,1.5942410808727885,0.0278878101069196,51.15043915466859,1784,230,1784,181.89,11.431742976237151,0.08999992723423819,0.0246013155344456,0.44564862056320637,0.2803816237178577
BAuruc,0.5,EI,0.02215624,100,0.769444718591026,1.7586979436867953,0.033999849416112,62.75540585815185,1784,230,1784,213.35,12.69802736608718,0.06688183429092347,0.018962082157281096,0.6911611080046088,0.25416679361011363
