"","Site","k","MN","GOF","U","S","p","m_","J","DA","S_m","S_sd"
"137","MGvico16","0.8","EE",50,0.005588524,91,0.21847289239375,0.00321663670754574,1653,1653,86.68,6.86799045786269
"138","MGvico16","0.75","EE",60,0.005861503,91,0.21847289239375,0.00399942052833564,1653,1653,91.43,8.01293777070381
"139","MGvico16","0.7","EE",54,0.006143932,91,0.21847289239375,0.00492220228410003,1653,1653,92.31,7.20366769658542
"140","MGvico16","0.65","EE",62,0.006209914,91,0.21847289239375,0.0059418160715008,1653,1653,93.4,9.01289760467316
"141","MGvico16","0.6","EE",99,0.007907391,91,0.21847289239375,0.00718166302901698,1653,1653,90.96,9.22110008993975
"142","MGvico16","0.55","EE",99,0.00797962,91,0.21847289239375,0.00870408377732739,1653,1653,91.38,8.10384619994255
"143","MGvico16","0.5","EE",99,0.008357364,91,0.21847289239375,0.0106327517138245,1653,1653,96.01,9.39965075646081
"144","MGvico16","0.25","EE",100,0.008790076,91,0.21847289239375,0.0357382503380119,1653,1653,88.09,7.75391071093363
"145","MGvico8","0.99","EE",100,0.01054827,195,0.313668812302999,0.000624080504437996,2303,2303,194.89,12.8879357885151
"146","MGvico8","0.95","EE",86,0.01370478,195,0.313668812302999,0.00126723027376545,2303,2303,193.91,12.0571827789769
"147","MGvico8","0.9","EE",86,0.01368038,195,0.313668812302999,0.0019249091816638,2303,2303,194.21,11.0839724126526
"148","MGvico8","0.85","EE",78,0.01315736,195,0.313668812302999,0.00257436988974293,2303,2303,191.33,10.8684094159322
"149","MGvico8","0.8","EE",85,0.01359712,195,0.313668812302999,0.00323771746994353,2303,2303,194.54,10.564300471136
"150","MGvico8","0.75","EE",87,0.01369529,195,0.313668812302999,0.00413746594039651,2303,2303,195.11,10.0382047974504
"151","MGvico8","0.7","EE",90,0.01359989,195,0.313668812302999,0.00496490759203394,2303,2303,193.92,9.94193241789644
"152","MGvico8","0.65","EE",90,0.01396009,195,0.313668812302999,0.0060985609149432,2303,2303,199.23,11.2428248723847
"153","MGvico8","0.6","EE",87,0.01337729,195,0.313668812302999,0.00732197933367821,2303,2303,192.49,9.68336593120263
"154","MGvico8","0.55","EE",84,0.0135813,195,0.313668812302999,0.00890436303131278,2303,2303,196.88,11.0547581053444
"155","MGvico8","0.5","EE",96,0.0131298,195,0.313668812302999,0.0107370964118907,2303,2303,195.37,11.7762429912897
"156","MGvico8","0.25","EE",100,0.01352264,195,0.313668812302999,0.0350185922413868,2303,2303,194.22,12.6989858817247
"157","MSdour","0.99","EE",100,0.007413074,74,0.116734787274334,0.000541230732834013,1016,1016,71.87,7.23858209230722
"158","MSdour","0.95","EE",99,0.007765301,74,0.116734787274334,0.00108697763475192,1016,1016,73.97,6.15860242574432
"159","MSdour","0.9","EE",100,0.007942902,74,0.116734787274334,0.00164021354967498,1016,1016,75.47,5.87832003761674
"160","MSdour","0.85","EE",99,0.007539615,74,0.116734787274334,0.00217873552967409,1016,1016,73.26,6.61742419905986
"161","MSdour","0.8","EE",100,0.007511956,74,0.116734787274334,0.00279700996045794,1016,1016,72.61,6.46497166164389
"162","MSdour","0.75","EE",100,0.007689732,74,0.116734787274334,0.00349839092152066,1016,1016,73.48,7.59914934101645
