"SiteCode"	"kernel_percentil"	"S.medio"	"S.var"	"p"	"S.obs"	"DA"	"N"	"txt.file"	"kernel_type"	"kernel_code"	"dist_0"	"kernel"	"U"	"U.var"	"KS"	"KS.var"	"KS_p"	"KS_p.var"	"GOF"	"date"
"MGperd1"	0.25	127.94	9.4887706093449	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	3.68725827579573	0.003849147	9.35286515666667e-09	0.0835413978240295	0.000707418150036743	0.73899797986904	0.064660725144247	99	"yes"
"MGperd1"	0.5	123.92	9.65221490256265	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	2.10390740865423	0.004353996	2.01591293777776e-09	0.0768480237878998	0.00052225080198976	0.814308455519079	0.0460071730390493	100	"yes"
"MGperd1"	0.55	127.8	9.14308260905257	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	1.92237494296613	0.004568088	4.50027431066666e-08	0.0750112090034479	0.000299407508455228	0.82406880332975	0.0249851713767159	100	"yes"
"MGperd1"	0.6	127.91	9.16525608981654	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	1.74601594815977	0.004430136	8.53702772044445e-08	0.0764702624201365	0.000452206198817096	0.800388354405522	0.043899835799358	100	"yes"
"MGperd1"	0.65	122.5	8.49896012652861	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	1.59209841576033	0.004245395	7.57933069833335e-08	0.0811596323229681	0.000408518413718087	0.772485185640284	0.0427352086329407	100	"yes"
"MGperd1"	0.7	128.19	7.07919843662053	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	1.43628220349137	0.004571628	1.15034627733333e-08	0.0779029031557727	0.000385937215084469	0.798813301115725	0.0387930027577442	100	"yes"
"MGperd1"	0.75	126.67	9.77944143330664	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	1.30602271861154	0.004475731	5.93065954766667e-08	0.0781927292942547	0.000572044178617008	0.789638620400875	0.0520426212354108	100	"yes"
"MGperd1"	0.8	127.04	8.87160946759124	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	1.16809949045112	0.0044538	2.64509408666666e-08	0.0762352309123799	0.000400739420177794	0.808290648871809	0.0384996893284753	100	"yes"
"MGperd1"	0.85	127.29	9.10022199751415	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	1.03451808730502	0.00455805	1.51514412444444e-08	0.0749437922381391	0.000471982797733837	0.81773054890074	0.041992426513232	100	"yes"
"MGperd1"	0.9	129.21	8.6097137999571	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	0.905395819212592	0.004572111	5.90575747666668e-09	0.0730316568914556	0.000396000322177835	0.834253768398771	0.0359147152223002	100	"yes"
"MGperd1"	0.95	128.48	10.7913920053968	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	0.735809900561453	0.004576079	1.42674839877778e-08	0.0760628213246276	0.000430824642786513	0.818991877630181	0.0365472341683271	100	"yes"
"MGperd1"	0.99	124.17	8.47939272649292	0.806018045548929	127	2470.83333333333	2965	"ref2564_MG_3870.txt"	"laplace"	"2"	2.01176975271592	0.515276499061237	0.00240896	1.40639852e-08	0.0779782479754685	0.00038492407069248	0.799369343636874	0.0389518415495888	100	"yes"
"MGuberl1"	0.25	85.18	8.49168339427978	0.234288719011765	87	1253.63636363636	1379	"ref76_MG_87.txt"	"laplace"	"2"	2.82432200338864	5.16257853926539	0.01521829	2.38404074333333e-07	0.195846751350999	0.00222993124975977	0.152210603580534	0.0343445085464752	61	"yes"
"MGuberl1"	0.5	89.09	8.07552106083814	0.234288719011765	87	1253.63636363636	1379	"ref76_MG_87.txt"	"laplace"	"2"	2.82432200338864	2.95985278384627	0.01306742	3.1154004e-08	0.133235844297362	0.00179080163731225	0.477518019326837	0.0967932243862164	94	"yes"
